ts,size,n,m,p,totaltime
1718566538948,8,100,100,100,2178
1718566551676,8,100,100,100,2056
1718566564212,8,100,100,100,2147
1718566577472,8,100,100,100,2094
1718566591288,8,100,100,100,2227
1718566604356,8,100,100,100,1992
1718566617188,8,100,100,100,2188
1718566631344,8,100,100,100,2210
1718566645368,8,100,100,100,2267
1718566658556,8,100,100,100,2147
1718566671600,8,100,100,100,1978
1718566684006,8,100,100,100,2043
1718566696236,8,100,100,100,2037
1718566709260,8,100,100,100,2281
1718566722048,8,100,100,100,2179
1718566734916,8,100,100,100,2226
1718566747524,8,100,100,100,2258
1718566761148,8,100,100,100,2168
1718566773523,8,100,100,100,2186
1718566786652,8,100,100,100,2182
1718566799340,8,100,100,100,2178
1718566813904,8,100,100,100,2159
1718566826972,8,100,100,100,2138
1718566840040,8,100,100,100,2314
1718566853476,8,100,100,100,2016
1718566867260,8,100,100,100,2166
1718566880194,8,100,100,100,2199
1718566894848,9,100,100,100,2405
1718566908052,9,100,100,100,2540
1718566921152,9,100,100,100,2337
1718566934188,9,100,100,100,2669
1718566947576,9,100,100,100,2617
1718566962352,9,100,100,100,2141
1718566976456,9,100,100,100,2552
1718566990068,9,100,100,100,2541
1718567003524,9,100,100,100,2497
1718567016724,9,100,100,100,2245
1718567029636,9,100,100,100,2067
1718567042716,9,100,100,100,2093
1718567055520,9,100,100,100,2405
1718567070036,9,100,100,100,2472
1718567083472,9,100,100,100,2126
1718567097628,9,100,100,100,2442
1718567111008,9,100,100,100,2444
1718567124375,9,100,100,100,2395
1718567137340,9,100,100,100,2674
1718567152299,9,100,100,100,2475
1718567166016,9,100,100,100,2475
1718567179296,9,100,100,100,2516
1718567192504,9,100,100,100,2499
1718567206148,9,100,100,100,2328
1718567219180,9,100,100,100,2398
1718567232368,9,100,100,100,2468
1718567246080,9,100,100,100,2491
1718567259928,9,100,100,100,2574
1718567273484,9,100,100,100,2379
1718567286552,9,100,100,100,2486
1718567299860,9,100,100,100,2292
1718567313652,9,100,100,100,2572
1718567327876,9,100,100,100,2189
1718567340908,9,100,100,100,2167
1718567354644,9,100,100,100,2507
1718567368164,9,100,100,100,2542
1718567382064,9,100,100,100,2513
1718567395288,9,100,100,100,2320
1718567408600,9,100,100,100,2594
1718567421980,9,100,100,100,2550
1718567435868,9,100,100,100,2580
1718567449232,9,100,100,100,2486
1718567465144,9,100,100,100,2534
1718567478672,9,100,100,100,2483
1718567493322,9,100,100,100,2432
1718567507736,9,100,100,100,2542
1718567522044,9,100,100,100,2220
1718567535472,9,100,100,100,2323
1718567549524,9,100,100,100,2251
1718567562964,9,100,100,100,2343
1718567576176,9,100,100,100,2517
1718567590452,9,100,100,100,2565
1718567604597,9,100,100,100,2527
1718567618688,9,100,100,100,2549
1718567632248,9,100,100,100,2518
1718567646188,9,100,100,100,2492
1718567660160,9,100,100,100,2577
1718567674152,9,100,100,100,2314
1718567688328,9,100,100,100,2744
1718567703736,9,100,100,100,2414
1718567717556,9,100,100,100,2449
1718567731240,9,100,100,100,2574
1718567745600,9,100,100,100,2477
1718567759356,9,100,100,100,2478
1718567774381,9,100,100,100,2501
1718567787696,9,100,100,100,2167
1718567801404,9,100,100,100,2340
1718567815052,9,100,100,100,2466
1718567829280,9,100,100,100,2200
1718567845340,9,100,100,100,2263
1718567858756,9,100,100,100,2537
1718567872876,9,100,100,100,2608
1718567887132,9,100,100,100,2545
1718567900872,9,100,100,100,2411
